Address,DonorName,Date,Time,Amount,Type,VolonteerID
194 WESTDALE RD OAKVILLE ON,Alice Johnson,"September 17, 2023",6:15 AM,75,Cash,222
2377 BRIDGE RD OAKVILLE ON,David Smith,"September 19, 2023",6:45 AM,87,Credit Card,224
2389 WYANDOTTE DR OAKVILLE ON,Emily Brown,"September 21, 2023",7:15 AM,90,Check,400
2271 BRIDGE RD OAKVILLE ON,Michael Davis,"September 23, 2023",7:45 AM,20,Check,335
111 JONES ST OAKVILLE ON,Olivia Miller,"September 25, 2023",8:15 AM,23,Check,443
206 SEARLE CRT OAKVILLE ON,Jacob Wilson,"September 27, 2023",8:45 AM,25,Cash,334
3536 WASS CRES OAKVILLE ON,Sophia Anderson,"September 29, 2023",9:15 AM,20,Cash,222
129 RIW ST OAKVILLE ON,Ethan Martinez,"October 1, 2023",9:45 AM,34,Credit Card,224
62 PIKE RD OAKVILLE ON,Ava Thompson,"October 3, 2023",10:15 AM,54,Cash,115
3328 PE RD W OAKVILLE ON,William Taylor,"October 5, 2023",10:45 AM,65,Check,443
434 BARCLAY CRES OAKVILLE ON,Isabella White,"October 7, 2023",11:15 AM,56,Check,221
560 MAPLE GROVE DR OAKVILLE ON,James Garcia,"October 9, 2023",11:45 AM,35,Check,445
333 CHARTWELL RD OAKVILLE ON,Mia Jackson,"October 11, 2023",12:15 PM,25,Cash,113
1100 BIRCHVIEW AVE OAKVILLE ON,Alexander Harris,"October 13, 2023",12:45 PM,25,Cash,300
61 SARAH LANE OAKVILLE ON,Abigail Lee,"October 15, 2023",1:15 PM,67,Credit Card,110
115 JONES ST OAKVILLE ON,Benjamin Clark,"October 17, 2023",1:45 PM,12,Cash,334
109 ELMWOOD RD OAKVILLE ON,Charlotte Lewis,"October 19, 2023",2:15 PM,15,Cash,115
2 WYECROFT RD OAKVILLE ON,Daniel Hall,"October 21, 2023",2:45 PM,10,Cash,442
1170 JAMESWAY BLVD OAKVILLE ON,Grace Walker,"October 23, 2023",3:15 PM,20,Cash,444
1535 FORESTDALE CRT OAKVILLE ON,Henry King,"October 25, 2023",3:45 PM,25,Cash,400
